date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:09:17	199/199	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Oct%202024%2011:09:17%20GMT	https://www.tastemade.com/robots.txt		(from )
07:09:19	132252/132252	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202024%2011:09:16%20GMT	https://www.tastemade.com/recipes/walnut-cake	/Users/khubaib-shopsense/websites/tastemade/www.tastemade.com/recipes/walnut-cake.html	(from )
07:09:22	243053/243053	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202024%2011:09:21%20GMT	https://www.tastemade.com/recipes/browse?cuisine_type__or=south_american	/Users/khubaib-shopsense/websites/tastemade/www.tastemade.com/recipes/browsead90.html	(from https://www.tastemade.com/recipes/walnut-cake)
07:09:24	232519/232519	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202024%2011:09:21%20GMT	https://www.tastemade.com/recipes/browse?author__or=Tastemade%20Culinary%20Team	/Users/khubaib-shopsense/websites/tastemade/www.tastemade.com/recipes/browse50a7.html	(from https://www.tastemade.com/recipes/walnut-cake)
07:09:24	250716/250716	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202024%2011:09:23%20GMT	https://www.tastemade.com/recipes/browse?category__or=make_ahead	/Users/khubaib-shopsense/websites/tastemade/www.tastemade.com/recipes/browse3805.html	(from https://www.tastemade.com/recipes/walnut-cake)
07:09:24	224257/224257	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202024%2011:09:23%20GMT	https://www.tastemade.com/recipes/browse?category__or=dessert	/Users/khubaib-shopsense/websites/tastemade/www.tastemade.com/recipes/browse3bab.html	(from https://www.tastemade.com/recipes/walnut-cake)
07:09:27	254532/254532	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202024%2011:09:25%20GMT	https://www.tastemade.com/recipes/browse?category__or=weekend	/Users/khubaib-shopsense/websites/tastemade/www.tastemade.com/recipes/browse1bd7.html	(from https://www.tastemade.com/recipes/walnut-cake)
07:09:28	227877/227877	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202024%2011:09:27%20GMT	https://www.tastemade.com/recipes/browse	/Users/khubaib-shopsense/websites/tastemade/www.tastemade.com/recipes/browse.html	(from https://www.tastemade.com/recipes/browse?author__or=Tastemade%20Culinary%20Team)
07:09:28	93194/93194	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202024%2011:09:27%20GMT	https://www.tastemade.com/recipes/tiny-chicken-picatta	/Users/khubaib-shopsense/websites/tastemade/www.tastemade.com/recipes/tiny-chicken-picatta.html	(from https://www.tastemade.com/recipes/browse?author__or=Tastemade%20Culinary%20Team)
07:09:29	250722/250722	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202024%2011:09:25%20GMT	https://www.tastemade.com/recipes/browse?category__or=party	/Users/khubaib-shopsense/websites/tastemade/www.tastemade.com/recipes/browseb8e0.html	(from https://www.tastemade.com/recipes/walnut-cake)
